datetime,SC1,SC2,SC3,SC4,SC5
2016-09-13 17:00:00,13.63,114.85,385.38,821.13,1247.47
2016-09-13 19:00:00,20.86,242.78,565.12,752.48,1256.86
2016-09-13 21:00:00,21.31,202.09,443.28,550.1,1364.3
2016-09-14 01:00:00,24.95,164.04,318.63,544.22,1675.59
2016-09-14 03:00:00,25.09,182.24,319.5,613.36,1628.32
2016-09-14 05:00:00,60.31,536.63,369.03,786.85,1613.36
2016-09-14 07:00:00,32.86,131.28,303.73,881.06,1126.13
2016-09-14 09:00:00,39.83,156.97,250.48,534.54,1305.42
2016-09-14 11:00:00,36.45,161.18,324.09,757.9,1276.86
2016-09-14 13:00:00,34.73,183.0,375.06,707.66,1300.49
2016-09-14 15:00:00,34.57,204.87,398.15,911.77,1531.26
2016-09-14 17:00:00,42.58,228.72,508.84,1037.22,1576.62
2016-09-14 19:00:00,37.42,286.33,537.11,1042.64,1593.24
2016-09-14 21:00:00,29.18,319.8,725.67,1291.53,1900.67
2016-09-14 23:00:00,30.62,358.51,707.88,1204.82,1806.36
2016-09-15 01:00:00,44.84,410.5,836.64,1312.6,1839.33
2016-09-15 03:00:00,68.97,444.82,874.4,1292.82,1788.37
2016-09-15 05:00:00,102.25,452.55,757.2,1127.59,1583.26
2016-09-15 07:00:00,120.7,477.18,515.63,798.45,1068.28
2016-09-15 09:00:00,85.37,323.27,311.33,411.28,531.98
2016-09-15 11:00:00,59.42,233.72,300.76,354.14,419.42
2016-09-15 13:00:00,37.78,211.8,236.84,268.37,438.7
2016-09-15 15:00:00,22.3,130.47,188.42,264.63,487.04
2016-09-15 17:00:00,27.0,150.28,190.85,305.81,592.73
2016-09-15 19:00:00,25.72,179.34,222.08,352.5,901.25
2016-09-15 21:00:00,22.93,148.04,194.25,341.69,825.59
2016-09-15 23:00:00,19.16,115.81,174.97,326.02,863.89
2016-09-16 01:00:00,19.64,98.93,170.55,396.53,917.28
2016-09-16 03:00:00,20.34,90.34,168.04,362.68,960.66
2016-09-16 07:00:00,28.5,119.38,165.38,284.71,681.01
2016-09-16 09:00:00,44.73,108.16,134.16,158.55,423.7
2016-09-16 11:00:00,28.88,116.63,149.38,193.68,413.02
2016-09-16 13:00:00,27.48,107.46,139.0,209.98,418.18
2016-09-16 15:00:00,26.48,138.7,192.34,266.24,440.31
2016-09-16 17:00:00,28.13,164.96,197.15,306.41,516.21
2016-09-16 21:00:00,29.38,155.41,204.67,361.54,604.81
2016-09-16 23:00:00,45.44,177.8,277.56,509.05,1043.15
2016-09-17 01:00:00,43.58,153.22,202.25,412.18,1023.33
2016-09-17 03:00:00,39.46,101.88,115.5,198.34,492.14
2016-09-17 05:00:00,42.3,87.38,93.36,113.53,276.84
2016-09-17 07:00:00,42.53,76.27,79.67,91.44,141.74
2016-09-17 11:00:00,44.19,120.22,174.37,287.94,441.24
2016-09-17 13:00:00,40.38,161.38,208.49,282.55,494.0
2016-09-17 15:00:00,39.29,129.17,209.46,352.04,544.03
2016-09-17 17:00:00,43.95,152.14,229.5,389.85,625.03
2016-09-17 21:00:00,41.97,172.22,296.85,520.48,834.41
2016-09-17 23:00:00,44.87,220.14,325.87,597.28,924.46
2016-09-18 01:00:00,27.3,205.94,347.41,697.2,927.1
2016-09-18 03:00:00,21.46,200.93,390.96,682.67,876.84
2016-09-18 09:00:00,69.07,312.96,411.25,603.87,820.72
2016-09-18 11:00:00,77.45,365.3,493.69,642.76,915.12
2016-09-18 13:00:00,74.67,362.6,514.98,730.91,966.56
2016-09-18 15:00:00,89.46,338.38,474.71,692.0,924.98
2016-09-18 17:00:00,84.87,306.18,471.13,657.33,922.68
2016-09-18 19:00:00,80.45,354.61,466.88,691.68,961.53
2016-09-18 21:00:00,77.89,344.74,462.19,662.7,927.25
2016-09-18 23:00:00,76.02,318.4,427.55,615.42,840.88
2016-09-19 01:00:00,68.0,284.06,376.02,569.8,739.81
2016-09-19 03:00:00,67.27,260.99,374.2,558.14,667.78
2016-09-19 05:00:00,69.94,256.81,355.46,515.53,681.38
2016-09-19 07:00:00,78.33,232.22,341.98,511.9,663.94
2016-09-19 09:00:00,79.0,278.77,405.56,536.49,691.17
2016-09-19 11:00:00,84.56,298.21,415.62,558.58,714.13
2016-09-19 13:00:00,88.5,363.74,449.63,586.58,707.36
2016-09-19 15:00:00,84.91,305.01,450.01,591.12,691.51
2016-09-19 17:00:00,71.39,303.74,445.23,630.48,809.94
2016-09-19 19:00:00,70.09,307.99,480.52,732.86,794.57
2016-09-19 21:00:00,62.73,304.25,498.28,732.87,899.93
2016-09-19 23:00:00,71.94,296.04,530.91,767.81,896.63
2016-09-20 01:00:00,71.85,348.0,518.42,673.27,909.1
2016-09-20 03:00:00,80.25,348.18,519.22,740.26,993.87
2016-09-20 05:00:00,79.79,241.39,347.51,526.58,725.42
2016-09-20 07:00:00,80.84,171.12,221.77,294.86,395.51
2016-09-20 09:00:00,77.16,163.63,204.06,254.3,332.74
2016-09-20 11:00:00,82.96,212.16,254.0,302.67,400.73
2016-09-20 13:00:00,83.03,174.09,241.2,308.35,395.18
2016-09-20 15:00:00,79.11,197.35,269.27,350.38,424.41
2016-09-20 17:00:00,92.73,217.97,337.38,429.94,594.58
2016-09-20 19:00:00,82.14,232.06,274.56,383.15,577.77
2016-09-20 21:00:00,88.64,211.54,266.26,364.6,514.38
2016-09-20 23:00:00,89.69,213.58,339.31,435.23,487.13
2016-09-21 01:00:00,83.25,290.77,375.78,437.78,583.14
2016-09-21 03:00:00,65.65,220.7,300.62,336.86,415.78
2016-09-21 05:00:00,88.17,201.02,300.11,408.01,636.08
2016-09-21 07:00:00,131.64,277.89,322.88,362.54,555.87
2016-09-21 09:00:00,92.15,269.9,323.26,340.51,383.33
2016-09-21 11:00:00,90.93,183.17,242.47,329.54,422.1
2016-09-21 13:00:00,253.18,329.17,361.5,427.39,526.3
2016-09-21 15:00:00,257.99,369.2,435.6,450.38,537.75
2016-09-21 17:00:00,240.69,321.4,373.06,474.44,535.74
2016-09-21 19:00:00,202.46,265.42,342.85,412.09,459.07
2016-09-21 21:00:00,129.19,202.68,247.08,344.72,438.67
2016-09-21 23:00:00,98.57,194.39,232.34,291.5,306.11
2016-09-22 01:00:00,85.96,175.13,196.18,278.52,354.87
2016-09-22 03:00:00,87.47,164.35,179.93,234.54,283.7
2016-09-22 09:00:00,147.01,202.88,229.8,301.74,423.84
2016-09-22 11:00:00,124.82,202.81,237.49,316.31,352.71
2016-09-27 09:00:00,160.34,319.76,444.39,687.97,752.93
